day,Market
2013/6/8,0.13083592
2013/6/9,-0.148709209
2013/6/10,0.004992829
2013/6/11,-0.457974063
2013/6/12,-0.34501377
2013/6/13,0.60150276
2013/6/14,0.094825165
2013/6/15,-0.079780943
2013/6/16,0.218306228
2013/6/17,0.04651673
2013/6/18,-0.044275349
2013/6/19,-0.191343402
2013/6/20,-0.543548836
2013/6/21,0.269272168
2013/6/22,-0.262532313
2013/6/23,0.141041846
2013/6/24,0.17306771
2013/6/25,0.172800427
2013/6/26,0.027506582
2013/6/27,0.036764371
2013/6/28,-0.579990808
2013/6/29,-0.034034017
2013/6/30,-0.106686867
2013/7/1,0.713029118
2013/7/2,-0.323863886
2013/7/3,0.372240652
2013/7/4,-0.713004433
2013/7/5,0.491753676
2013/7/6,0.10567255
2013/7/7,0.164803705
2013/7/8,-0.17499973
2013/7/9,0.178716631
2013/7/10,-0.072388668
2013/7/11,0.237542562
2013/7/12,0.028567011
2013/7/13,-0.019118061
2013/7/14,0.174548885
2013/7/15,-0.306630074
2013/7/16,-0.247007858
2013/7/17,0.126775533
2013/7/18,-0.098947384
2013/7/19,0.201081901
2013/7/20,0.013248723
2013/7/21,0.00373584
2013/7/22,-0.111754471
2013/7/23,-0.170406545
2013/7/24,0.247364282
2013/7/25,-0.051652265
2013/7/26,0.219701125
2013/7/27,-0.147253618
2013/7/28,-0.215337933
2013/7/29,0.2595869
2013/7/30,-0.150985026
2013/7/31,-0.068496157
2013/8/1,0.220147774
2013/8/2,-0.04393974
2013/8/3,0.140851178
2013/8/4,-0.033400898
2013/8/5,0.037252863
2013/8/6,-0.199715886
2013/8/7,-0.111154118
2013/8/8,0.199417551
2013/8/9,-0.077806508
2013/8/10,-0.035155128
2013/8/11,-0.573114197
2013/8/12,0.65417167
2013/8/13,0.023495024
2013/8/14,-0.036780437
2013/8/15,-0.207058437
2013/8/16,0.074468841
2013/8/17,-0.401659628
2013/8/18,0.299469553
2013/8/19,-0.028460865
2013/8/20,0.056133099
2013/8/21,-0.203683785
2013/8/22,0.347196206
2013/8/23,0.174275571
2013/8/24,-0.058335369
2013/8/25,-0.059261789
2013/8/26,-0.074788298
2013/8/27,-0.348980105
2013/8/28,0.21332156
2013/8/29,0.010382394
2013/8/30,-0.483651753
2013/8/31,0.552576582
2013/9/1,-0.211619065
2013/9/2,-0.03084619
2013/9/3,0.115257789
2013/9/4,0.205662576
2013/9/5,0.108833632
2013/9/6,-0.104247204
2013/9/7,0.120439818
2013/9/8,0.16352837
2013/9/9,-0.0602078
2013/9/10,-0.051314895
2013/9/11,-0.195576149
2013/9/12,0.091974297
2013/9/13,-0.03402299
2013/9/14,0.123826102
2013/9/15,-0.055063807
2013/9/16,-0.77260586
2013/9/17,0.275530276
2013/9/18,0.26037775
2013/9/19,-0.002935903
2013/9/20,0.00531868
2013/9/21,-0.070196302
2013/9/22,0.098277686
2013/9/23,-0.030892244
2013/9/24,0.021096861
2013/9/25,-0.065321576
2013/9/26,0.114655681
2013/9/27,0.105865004
2013/9/28,0.116156973
2013/9/29,-0.085278589
2013/9/30,-0.136811218
2013/10/1,0.19742458
2013/10/2,-0.137334543
2013/10/3,-0.090348988
2013/10/4,0.250516297
2013/10/5,0.038403608
2013/10/6,-0.026491935
2013/10/7,-0.124148659
2013/10/8,-0.58501218
2013/10/9,0.22549101
2013/10/10,0.39494391
2013/10/11,0.027770898
2013/10/12,0.13192447
2013/10/13,-0.254347479
2013/10/14,0.224605777
2013/10/15,-0.375968556
2013/10/16,0.300843244
2013/10/17,0.071606208
2013/10/18,0.065813763
2013/10/19,0.052532526
2013/10/20,-0.100046675
2013/10/21,-0.073784878
2013/10/22,-0.110044307
2013/10/23,-0.122718189
2013/10/24,0.191757776
2013/10/25,-0.129650763
2013/10/26,0.075197531
2013/10/27,-0.183510482
2013/10/28,0.239128512
2013/10/29,0.015228602
2013/10/30,-0.0778239
2013/10/31,0.003486684
2013/11/1,-0.083083375
2013/11/2,0.195659291
2013/11/3,-0.072177097
2013/11/4,0.00359071
2013/11/5,-0.116832333
2013/11/6,-0.237391417
2013/11/7,-0.450486356
2013/11/8,0.527428063
2013/11/9,0.244587528
2013/11/10,0.030737052
2013/11/11,-0.030798693
2013/11/12,-0.083564184
2013/11/13,0.050455536
2013/11/14,0.178034772
2013/11/15,-0.058154301
2013/11/16,-0.009719635
2013/11/17,0.213330773
2013/11/18,-0.482213309
2013/11/19,-0.147642992
2013/11/20,0.027009263
2013/11/21,0.293238509
2013/11/22,0.03505857
2013/11/23,0.184614323
2013/11/24,-0.191703841
2013/11/25,-0.117527291
2013/11/26,0.130487053
2013/11/27,0.096722295
2013/11/28,0.052340416
2013/11/29,-0.10307396
2013/11/30,0.02063368
2013/12/1,0.040422968
2013/12/2,-0.077915045
2013/12/3,-0.022657543
2013/12/4,0.10602715
2013/12/5,0.009404028
2013/12/6,-0.081774438
2013/12/7,0.092488317
2013/12/8,-0.052521538
2013/12/9,0.011486554
2013/12/10,-0.023711457
2013/12/11,-0.223139611
2013/12/12,0.083700148
2013/12/13,0.015746567
2013/12/14,0.148649626
2013/12/15,-0.060744638
2013/12/16,-0.133632983
2013/12/17,0.049801405
2013/12/18,-0.025114017
